fable	roman	hy_title	fr_title	hy_text	fr_text	hy_pages	fr_pages	hy_scan_url	fr_scan_url
1	I	ԱՌԻՒԾՆ ԾԵՐԱՑԵԱԼ	LE LION DEVENU VIEUX	ԱՌԻՒԾՆ ծերացաւ՝ և ոչ կարէր որսալ կերակուր . և եղև սուտ հիւանդ, և եմուտ ՚ի յայր մի, և կացոյց զուծն (1) դռնապան ։ Եւ առաքեաց ուծն պատգամս՝ թէ հիւանդա- ցաւ թագաւորն , եկայք ամենայն էրէքդ ՚ի տես . և սկսան ՚ի գալ ։ Եւ որ մտանէր՝ այլ ոչ ելանէր, զի կեր լինէր առիւծուն ։ Եկն և խոզն ՚ի տեսանել զառիւծն, և զի բնու- թեամբ խոզն ՚ի վայր հայի . և ետես զհետսն, զի որ զինչ մտեալ էր՝ այլ չէր ելեալ ։ Եւ ասէր ուծն՝ թէ մուտ ։ Ասէ խոզն, աստ՝ մե- ռանիմ, ես ոչ մտանեմ, զի զինչ մտեալ է, եՀար ժանեօքն , և յերկուս կտրեաց զնա և այնպէս յանդիմանեաց զստութիւն նորա : Ցուցանէ առակս՝ թէ առիւծն մահն է, քարայրն՝ գերեզմանն է . և մեք անմիտք որ քան զխոզն չեղաք որ ածեմք զմտաւ՝ թ որք մեռան՝ այլ ո՛չ կենդանացան . և Հա նապազ ագահիմք :	LE Lion étant devenu vieux et ne pouvant pour- suivre sa proie, il feignit d'être malade, se retira dans une caverne, et y plaça la Chèvre (1) pour portier. La Chèvre envoya alors un message pour faire savoir que le roi était malade, et pour inviter tous les animaux à venir le voir. Ils commencèrent à venir ; celui qui entrait ne sor- tait pas, parce qu'il devenait la pâture du Lion. Le Cochon vint aussi voir le Lion; mais comme, selon son naturel, cet animal regardait en bas, il vit que les marques étaient toutes pour entrer, mais non pour sortir. La Chèvre disait : Entre donc? Je mourrais ici, répondit le Cochon; je conséquence. On pourrait encore supposer qu'il fau- drait lire ինձ ou ինծ, qui signifie léopard. n'entrerai pas, car on y est entré et on n'en est pas sorti. Le portier se fâche alors et le bat; le Cochon hérisse son poil, le frappe avec ses défenses, le déchire en deux, et le châtie ainsi de sa fourberie. On voit par cet apologue que le Lion est la mort, la caverne est le tombeau, et nous insensés qui ne sommes pas plus que le Cochon, nous savons que ceux qui meurent ne ressuscitent pas, et nous amassons continuellement.	EAP180-1-2-229_006L.jpg EAP180-1-2-229_007L.jpg	EAP180-1-2-229_006R.jpg EAP180-1-2-229_007R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_006L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_006R.jpg
2	II	ԺՈՂՈՎՔ ԹՌՉՆՈՑ	L'ASSEMBLÉE DES OISEAUX	Ժողովեցան թռչունքն և ասացին, թէ որ ձայնն զօրաւոր է՝ զայն դիցուք մեզ թա գաւոր . որ կոչէ զմեզ ՚ի ժամ պատերազմին Եւ բարձրացաւ կռունկն յերկինս՝ և գոչեաց և Հաճեցան՝ և օծին թագաւոր : Գայ էշ և ասէ . ա՛յ թէ՝ զիս նորա տեղին Հանէք, ոտիցս տեղ շինէք որ վերանամ . դուք լսէ թէ ո՞ւմ ձայնն է զօրաւոր : Ցուցանէ առակս, թէ որչափ տկար լին մարդն և աղքատ, և ժողովուրդքն և զօրք Հաւանին , և դնեն թագաւոր կամ՝ առաջ– նորդ. նա կարէ վարել զիշխանութիւնն զինչ ՚ի վերայ գայ ։	LES Oiseaux s'assemblèrent et dirent: Quel est celui dont la voix est forte? Nous le ferons notre roi pour qu'il nous appelle au moment du com- bat.La Grue s'éleva dans les cieux, se mit à crier; ils furent charmés et la sacrèrent roi. L'Ane vint alors : Oh! dit-il, élevez-moi à sa place, et don- nez-moi un lieu où je puisse me dresser sur mes pieds, et vous entendrez qui a une voix forte. Cette fable montre que pourvu qu'un homme soit faible et pauvre, il plaît toujours aux peu- ples et aux soldats qui le nomment roi ou chef, mais peut-il gouverner son royaume s'il arrive quelque chose?	EAP180-1-2-229_007L.jpg EAP180-1-2-229_008L.jpg	EAP180-1-2-229_007R.jpg EAP180-1-2-229_008R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_007L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_007R.jpg
3	III	ԱՂՔԱՏՆ ԵՒ ԱՐԾԻՒՆ	LE PAUVRE ET L'AIGLE	Այր մի աղքատ խորովէր սակաւ մի միս յա– նապատի ուրեմն . և ահա արծիւն յան– կարծակի եկն ՚ի վերուստ, և էառ զմիսն և վերացաւ։ Իսկ աղքատն խեռաբարոյ էր, ան– կաւ ՚ի վերայ մորենոյն և ձայնեաց ասելով . թէ այր ես , և ունիս կարողութիւն ՝ դու ընթացի՛ր ուր ես եմ . զնոյն բանս և այժմ՝ ասեն մարդիք ՚ի կռիւս իւրեանց ։ Տարաւ արծիւն զմիսն ՝ և եդ ՚ի բոյն իւր առաջի ձագուց իւրոց, և ինքն գնաց ։ Եւ կայծ մի փակեալ կայր ՚ի միսն , այրեաց զբունն և զձագսն արծուին ։ Ցուցանէ առակս՝ թէ որ զրկէ զմարդն յանմեղուց՝ զմեղքն ՚ի Հետ զրկանացն յինքն առնու ։	UN Pauvre Homme faisait rôtir un peu de viande dans un désert; mais voilà que l'Aigle fond ino- pinément sur lui, prend la viande et s'en va. Le Pauvre était méchant; il se jette dans un buisson en lui disant: Si tu es brave, si tu as de la force, viens où je suis. Les hommes tiennent à présent de pareils discours dans leurs démê- lés. L'Aigle emporta la viande et la posa dans son nid devant ses petits et s'en alla. Une étin- celle était cachée dans la viande; elle brûla le nid et les petits de l'Aigle. Cette fable montre que l'homme qui est injuste envers des innocens, attire sur lui-même un pa- reil malheur.	EAP180-1-2-229_008L.jpg	EAP180-1-2-229_008R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_008L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_008R.jpg
4	IV	ԳԱՌՆ ԵՒ ԳԱՅԼՆ	L'AGNEAU ET LE LOUP	Գառն մի ցանկալի կայր ՚ի փարախ մի . և ահա եմուտ գայլն՝ առ զնա զի կերիցէ . և նա անկաւ յոտս նորա՝ ասէ լալով . ած ետ զիս ՚ի հրամանս քո , ապա ողորմեաց ինձ և հար զփողս քո՝ և լսեմ, զի լցցի ցանկու_ թիւնս իմ. քանզի լուայ ՚ի հարց իմոց թէ սաստիկ փողահարք են ազգք գայլոց ։ Եւ նա Հաւատաց անդէպ բանին, և կնկզեցաւ, և մի բերան գոչեաց . և ահա զարթեալ շունքն՝ և խածատեցին ։ Եւ փախեալ և ելեալ նըս_ տաւ նա ՚ի բլուր մի, լալով կոծէր զանձն իւր և ասէր . թէ արժան եմ ես այս վշտացս, և արդ՝ ով արար զիս փողահար, զի ես հա_ նապազ մսագործ էի ։ Ցուցանէ առակս՝ թէ շատ իմաստուն մար_ դիկ խաբին, և լսեն անդէպ բանից, և յետոյ ապաշաւեն որպէս գայլն . և շատ ձեռնարկեն շաճ, և անկանին ՚ի նեղութիւն ։	UN tendre Agneau était dans la bergerie; voilà que le Loup entre et le prend pour le manger. Renversé sous les pieds du Loup, il disait en pleu- rant : Dieu me met à votre disposition, ayez pitié de moi; ainsi faites retentir votre cor, pour que je m'amuse; mes vœux seront satisfaits, parce que j'ai toujours entendu dire à mes pères que la race des Loups fournit de forts donneurs de cor. Le Loup écoute ce sot propos, il s'accrou- pit et se met à crier de toute sa force; mais voilà que les Chiens s'éveillent et le mordent. Il s'en- fuit et s'arrêta sur une colline qu'il atteignit, et il y disait en se lamentant : Je suis vraiment digne de ce malheur, car qui m'a fait musicien, puisque j'ai toujours été boucher ? Cette fable montre que beaucoup de gens sa- ges sont trompés et écoutent de sots propos, et se repentent ensuite comme le Loup; et que beaucoup entreprennent, soit en action, soit en parole, ce qui ne leur convient pas, et qu'ils tombent dans le malheur.	EAP180-1-2-229_009L.jpg EAP180-1-2-229_010L.jpg	EAP180-1-2-229_009R.jpg EAP180-1-2-229_010R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_009L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_009R.jpg
5	V	ԺԻԺԻՔՆ ՄԵՂՈՒՔՆ ԵՒ ՄՐՋԻՒՆ	LES INSECTES, L'ABEILLE ET LA FOURMI	Ժիժիքն գան առ մեղուքն և առ մրջիմն ՚ի ժամանակս ձմերան՝ և ասեն . տուք մեզ կերակուր զի մեռանիմք ՚ի սովոյ ։ Եւ նոքա ասեն . դուք զի՞նչ գործէք յամառան ։ և նոքա ասեն՝ թէ ՚ի վարսաւոր ծառս Հանգ_ չէաք , և անուշ երգով զճանապարՀորդս ու ղարկէաք ։ Եւ նոքա ասեն . ապա յիրաւի սատակիք ՚ի սովոյ . և չէ պարտ առնել ձեզ ողորմութիւն ։ Ցուցանէ առակս՝ թէ յիմար կուսանքն (1) խնդրեն, և իմաստունքն ոչ տան . զի ժամա_ լոյ : Ապա պարտ է յայս կեանքն ժողովել , որ է ամառն, իմաստութեամբ և աշխատու_ թեամբ՝ զհոգևոր կերակուր, զի մի՛ դատաս_ տանին օրն սովամահ ՚ի դժոխս արկանեն զմեզ ։	LES Insectes se rendirent, par un tems d'hiver, auprès des Abeilles et de la Fourmi. Donnez- nous de la nourriture, leur dirent-ils, car nous mourons de faim. Celles-ci leur répondirent: Eh! que faites-vous donc l'été? Nous nous repo- sons sous des arbres touffus, répliquèrent-ils, et nous accompagnons le voyageur avec de dou- ces chansons. En ce cas-là, dirent-elles, il n'est pas étonnant que vous mouriez de faim; il ne faut pas vous faire la charité. Cette fable montre que les vierges folles (1) demandent, et que celles qui sont sages ne et cinq sages. Հինգն ՚ի նոցանէ յիմարք էին՝ և հինգն իմաստունք: Quinque autem ex eis erant fa- tuæ, et quinque prudentes. Matt. xxv, 2. recueillir, dans cette vie qui est l'été, par la sa gesse et le travail, la nourriture spirituelle, pour qu'au jour du jugement on ne nous fasse pas mourir de faim en enfer.	EAP180-1-2-229_010L.jpg EAP180-1-2-229_011L.jpg	EAP180-1-2-229_010R.jpg EAP180-1-2-229_011R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_010L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_010R.jpg
6	VI	Ե Ր Կ Ո Ւ Ա Ք Լ Ո Լ Ք	LES DEUX COQS	Երկու աքլոլք կռվէին ՚ի մէջ փողոցին . և մին յաղթեաց ընկերին՝ և ընկէց զնա , և Հպարտացեալ թռեաւ, և ելեալ ՚ի բարձ_ րագոյն տեղիս, և սկսաւ ճեմել և գաղացել․ և բարձրվզել վասն յաղթութեան նորա , ՚ի պարծանս անձին Համարեալ իւրն ։ Եւ ա_ Հա արծիւ մի ՚ի վերուստ յանկարծակի եկն , և առեալ՝ վերացաւ զնա ՚ի յօդն ։ Ցուցանէ առակս, թէ որ խնդայ ՚ի կո_ րուստ թշնամւոյն՝ կամ` ուրախանայ Հպար_ տութեամբ թէ յաղթեցի թշնամւոյն , գայ ՚ի վերայ նորա յանկարծակի նեղութիւն և չար_ չարանք • որ վայ տայ անձին իւրոյ ։	DEUX Coqs se battaient au milieu d'une rue; celui qui triompha de son camarade et le jeta à terre, en fut tout enflé d'orgueil; il s'envole, et monte sur un lieu élevé, où il commence à se promener, à chanter et à s'enorgueillir de sa vic toire, montrant toute sa vanité; mais voilà qu'un Aigle fond inopinément sur lui, le prend et l'enlève dans les airs. Cette fable montre que celui qui se réjouit de la perte de son adversaire, ou se félicite avec orgueil de ce qu'il a vaincu l'ennemi, attire sur lui, sans qu'il s'y attende, des peines et des tourmens qui le forcent à déplorer son sort.	EAP180-1-2-229_011L.jpg	EAP180-1-2-229_011R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_011L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_011R.jpg
7	VII	ԺՈՂՈՎՔ ԹՌՉՆՈՑ	L’ASSEMBLÉE DES OISEAUX	Ժողովեցան թռչունքն և ընտրեցին զսիրա_ մարգն վասն գեղեցկութեանն իւրոյ՝ օ_ ծին զնա թագաւոր ։ Գայ առ նա աղաւնին և ասէ, ո՛վ բարի թագաւոր , եթէ նեղեն զմեզ արծիւքն՝ դու զի՞նչ օգնութիւն կա_ րես առնել մեզ ։ Ցուցանէ առակս , թէ թագաւորին ոչ միայն գեղեցկութիւն՝ այլ և քաջութիւն և պատերազմական զօրութիւն և բազմահը_ նար իմաստութիւն՝ յամենայն կողմանց պի_ տոյ է ։	Les Oiseaux s’étant réunis, ils élurent le Paon, à cause de sa beauté, et le sacrèrent roi. La Colombe vint alors vers lui, et lui dit : O excellent roi, si les Aigles nous tourmentent, comment pourras-tu nous secourir? Cette fable montre que ce n’est pas assez de la beauté pour un roi, mais qu’il lui faut encore, pour toutes les occasions, le courage, la valeur militaire et une sagesse éprouvée.	EAP180-1-2-229_012L.jpg	EAP180-1-2-229_012R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_012L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_012R.jpg
8	VIII	ԱՂՈՒԷՍՆ ԵՒ ԽԵՑԳԵՏԻՆՆ	LE RENARD ET L’ÉCREVISSE	Աղուէսն և խեցգետինն եղբարք եղեն, ցա_ նեցին և քաղեցին արտս . և կասեցին և շեղջեցին ։ Եւ ասէ աղուէսն, ելցուք ՚ի գետինն • արա ինձ սէր, և յորժամ կա վազել՝ դու զարկ զագիդ քո ՚ի վերայ իմ իմանամ և գամ զհետ քո : և եբաց խեց տինն զմկրատն իւր . և իբր եզարկ աղու զագին, և վազեաց խեցգետինն փակեալ զին աղուեսուն : Եւ իբրև եհաս աղու ՚ի շեղջն, և դարձաւ յետս տեսանել ուր իցէ խեցգետինն . և խեցգետինն ան ՚ի վերայ շեղջին, և ասէ՝ յանուն այ այս երեք մոթ և կէս : () արմացաւ աղուէսն ասէ . ով դու չար՝ երբ եկիր աստ : Ուսուցանէ առակս թէ շատ բան և զ առնեն նենգաւոր մարդիք՝ որ ՚ի կորուստ նի անձանց նոցա . և տկարքն յաղթեն նո	Le Renard et l’Écrevisse vivaient en frères; ils ensemencèrent leur terre, firent la récolte, écrasèrent leur grain, et le mirent en tas. Le Renard dit alors : Allons sur la colline, et celui qui arri vera le plus vîte dans l'aire emportera le grain. Pendant qu'ils montaient sur la colline, l'Écre visse lui dit : Fais-moi un plaisir; quand tu voudras courir, tu me toucheras de ta queue, pour que je la sente et que je te suive. L'Écre visse ouvrit alors ses pinces, et quand le Renard la toucha de sa queue, elle sauta dessus et la saisit, de sorte que quand le Renard fut arrivé au but, et qu'il se retourna pour voir où était l'Écrevisse, celle-ci tomba sur le tas, et dit : Au nom de Dieu, il y a là trois boisseaux et demi, qui sont à moi. Le Renard étonné, lui dit alors : Comment, méchante, es-tu venue là ? Cette fable fait voir que les hommes trompeurs emploient beaucoup de paroles et d'actions pour se porter préjudice à eux-mêmes, et que les faibles en triomphent.	EAP180-1-2-229_012L.jpg EAP180-1-2-229_013L.jpg	EAP180-1-2-229_012R.jpg EAP180-1-2-229_013R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_012L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_012R.jpg
9	IX	ԱՅԾՔՆ ԵՒ ԳԱՅԼՔ	LES CHÈVRES ET LES LOUPS	Ժողովեցան այծքն ամենայն, և առաքե պատգամս առ ազգն գայլոց, և ասա թիւն . և աղաչեմք զձեզ որ առնէք խաղաղու թիւն ընդ մեզ, որպէս և առնեն թագաւոր ազգաց : Եւ գայլքն ժողովեցան և ուրախա ցան ուրախութիւն մեծ . և առաքեցին պա գամս մեծ նամակաւ և բազում` ընծայիւք ա ազգս այծեաց՝ և ասեն . լուաք զբարի խոր Հուրդս ձեր և գոհացաք զայ՝ զի մեծ խնդու թիւն է և խաղաղութիւն : Եւ գիտացնե ձեր իմաստութեանդ • զի պատճառն և սկիզբ խռովութեան և կռուոյ մերոյ՝ Հովիւն է շունն, և թէ զնոսա բառնայք ՚ի միջոյ՝ ( փութով լինի հաշտութիւնն : Եւ զայս լուա այծքն, և ՚ի բաց վարեցին զհովիւքն և ը շունս . և արարին թուղթ երդման, և Հաստա տութեան : Եւ ելեալ այծքն տարածեցան ան Հոգք ՚ի լերինս և ՚ի խորաձորս, և սկսա արածել՝ և գոհանալ զայ : Եւ Համբերեցի գայլքն զաւուրս տասն . և ժողովեցան ՚ի վե րայ նոցա, և Հեղձուցին զայծսն զամենայն : Ցուցանէ առակս՝ թէ բնութեամբ ամրա ցեալ է սիրտ մարդոյն ՚ի թշնամութիւն տոհմ, և մարդոյ առ մարդ . նա զժուարաւ կարէ Հաստատել սէր և խաղաղութիւն ՚ի մէջ նոցա :	TOUTES les Chèvres se réunirent et envoyèrent un message à la nation des Loups : Pour 2 quoi, leur disaient-elles, nous faites-vous une guerre sans relâche? Nous vous prions de faire la paix avec nous, comme font les rois des na tions. Les Loups se réunirent, pleins de joie, et ils expédièrent une grande lettre avec beaucoup de présens pour la nation des Chèvres, et ils leur dirent: Nous avons appris votre excellente résolution, et nous en avons rendu grâces à Dieu; certainement la paix sera le sujet d'une grande joie. Nous ferons connaître à votre sagesse, que le Berger et le Chien sont la cause et l'ori gine de nos démêlés et de nos querelles; si vous les tuez (1), la tranquillité sera bientôt rétablie. En apprenant cela, les Chèvres chassèrent les Bergers et les Chiens, et elles firent un traité de paix et d'amitié. Les Chèvres sortirent pour se répandre sans crainte dans les montagnes et les vallées, et elles commencèrent à y paître et à rendre grâces à Dieu. Les Loups patientèrent pendant dix jours, puis ils se réunirent contre les Chèvres et les étranglèrent toutes. Cette fable montre que la haine et l'aversion, de nation contre nation, de famille contre fa برداشتن en persan, et en latin è medio tollere, signi fient métaphoriquement, tuer. mille, d'individu contre individu, est fortement enraciné par la nature dans le cœur des hommes, et que ce n'est qu'avec beaucoup de diffi- culté qu'on peut établir la paix et l'amitié entre eux.	EAP180-1-2-229_013L.jpg EAP180-1-2-229_014L.jpg EAP180-1-2-229_015L.jpg	EAP180-1-2-229_013R.jpg EAP180-1-2-229_014R.jpg EAP180-1-2-229_015R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_013L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_013R.jpg
10	X	ԱՌԻՒԾՆ, ԳԱՅԼՆ ԵՒ ԱՂՈՒԷՍՆ	LE LION, LE LOUP ET LE RENARD	Առիւծն և գայլն և աղուէսն եղեն եղբարք . և ելեալ յորս՝ և գտին խոյ մի, և ոչխար մի՝ որ է մաքի, և գառն մի : Եւ ՚ի ժամ ճաշոյն ասէ առիւծն ընդ գայլն՝ թէ բաժանէ զոչխարսդ (1) ՚ի վերայ մեր, փորձելով զնա : Եւ գայլն ասէ, ով թագաւոր՝ զայդ ած է բա_ ժաներ . խոյրդ՝ քեզ , և մաքիդ՝ ինձ, և գառն՝ աղուեսուն : Եւ առիւծն բարկացեալ և եՀար ապտակ ՚ի ծնօտս գայլոյն . և կրկովեցան աչք նորա . և նա նստեալ լայր դառնապէս : Եւ դարձեալ ասէ առիւծն ընդ աղուէսն՝ թէ բաժանէ զոչխարսդ ՚ի վերայ մեր : Եւ ասէ ա_ խոյըդ՝ քեզ ճաշու, մաքիդ հրամենք, և գառըդ ընթրես ։ Եւ ասէ առիւծն . ով գերի աղուեսուկ՝ ո ուսոյց քեզ զայդ արդար բա_ ժանելդ ։ Եւ ասէ աղուէսն՝ թէ աչք գայլոյն ուսոյց զիս՝ որ արտաքս կրկովեցան ։ Ցուցանէ առակս՝ թէ բազում՝ չարագործք խրատին և թողուն զչարիս, յորժամ՝ թա_ գաւորք և իշխանք կախեն զգողս և զանի_ րաւս ։	LE Lion, le Loup et le Renard ayant fait so- ciété, ils sortirent pour la chasse, et trouvèrent un Bélier, une Brebis et un Agneau. Au moment du repas, le Lion dit au Loup, pour l'éprouver: Partage entre nous les bêtes (1). Le Loup lui répondit : O Roi, Dieu fait le partage ainsi : le Bélier est pour toi, la Brebis pour moi, et l'A- gneau pour le Renard. Le Lion se met alors en colère, donne un soufflet sur les joues du Loup et lui fait sauter les yeux. Celui-ci se retire en pleurant amèrement. Le Lion s'adresse ensuite au Renard en lui disant de partager les bêtes.O Roi, riel, est pris pour les bétes, dans un sens indéfini. est pour ton dîner, nous mangerons ensemble la Brebis si tu l'ordonnes, et tu souperas avec l'Agneau. O petit Renard flatteur, dit le Lion, qui est-ce qui t'a enseigné ce partage équitable? Les yeux crevés du Loup me l'ont appris, re- partit le Renard. Cette fable montre que beaucoup de méchans sont corrigés et qu'ils cessent de faire le mal, quand les rois et les princes font pendre les vo- leurs et les malfaiteurs.	EAP180-1-2-229_015L.jpg EAP180-1-2-229_016L.jpg	EAP180-1-2-229_015R.jpg EAP180-1-2-229_016R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_015L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_015R.jpg
11	XI	ԳԱՅԼՆ ԵՒ ԷՇՆ	LE LOUP ET L'ANE	Գայլն եգիտ էշ մի գէր՝ և կամեցաւ ուտել զնա ։ Եւ ասէ էշն . աղաչեմ՝ զքեզ ով գայլ, Հան զայս խոցս յոտից իմոց, և ապա ուտես զիս՝ զի ետ զիս ՚ի ձեռս քո կերա_ կուր . քանզի բևեռ չար Հասաւ յոտս իմ՝՝ և տանջէ զիս ։ Եւ անցեալ գայլն յետոյ կող– մանէ զի Հանցէ զբևեռն, և էշն ամենայն զօրութեամբն իւրով կիցս եՀան՝ և եՀար զբե_ յիրաւի կրեցի զայս ամենայն վիշտս, զի ե իսկզբանէ մսագործ էի, և արդ ո արար զի պայթար : Ցուցանէ առակս, թէ շատք լան և ապա շաւեն՝ որ ձեռնամուտ լինին ՚ի գործ և յար ուեստ ինչ՝ զոր չե՛ն ուսեալ, և չէ՛ ՚ի դէս ժամուն իւրեանց օգտակար :	LE Loup ayant trouvé un Ane qui était gras, voulut le manger. L'Ane lui dit alors : O Loup, je t'en prie, guéris-moi d'une blessure que j'ai au pied; un méchant clou y est entré et me fait souffrir, et tu me mangeras ensuite, car Dieu m'a destiné à te servir de nourriture. Le Loup passa aussitôt par derrière l'Ane, pour extraire le clou, et l'Ane, à l'instant, lance de toute sa pleurant amèrement : Il est juste que je souffre cette disgrâce, car étant naturellement boucher, personne ne m'a fait maréchal. Cette fable montre que beaucoup de gens pleurent et se repentent d'avoir pratiqué des ou vrages ou des arts qu'ils n'ont pas appris, et qui leur sont inutiles dans l'occasion.	EAP180-1-2-229_016L.jpg EAP180-1-2-229_017L.jpg	EAP180-1-2-229_016R.jpg EAP180-1-2-229_017R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_016L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_016R.jpg
12	XII	ԱՂՈՒԷՍՆ ԵՒ ԿԱՔԱՒ	LE RENARD ET LA PERDRIX	Աղուէսն էառ կաքաւ մի ՚ի բերանն՝ և կա մէր ուտել զնա . և ասէ կաքաւն օրհ նեալ է ած որ կոչեաց զիս յիւր արքայու թիւնն . զի զերծանիմ ՚ի յայս չարեացս : Եւ ապա դու աղուէս՝ գոհացիր զայ, և ապա ու տես զիս, քեզ մեծ վարձք է։ Եւ աղուէսն կրկզեցաւ, և հայեցեալ յերկինս՝ և բացեալ զբերանն ասէ, գոհանամ զքէն ած բարի՝ որ պատրաստեցեր ինձ սեղան բարութեան ։ Եւ կաքաւն զերծաւ ՚ի բերանոյն՝ և թռեաւ ։ Եւ ասէ աղուէսն, ո՛վ անմիտս և յիմարս, յա- ռաջն պարտ էր ինձ ուտել․ և ապա գոհա- նալ զայ ։ Ցուցանէ առակս, թէ զխոստացեալ իրսն մի՛ համարիր քեզ, և մի՛ շնորհակալ մարդոյ լինիր մինչև առնուս ․ և թէ ջուր տան քեզ՝ ՚ի նոյն ժամն ՚ի գոգդ առ ․ զի շատք ասեն, և ոչ տան զասացեալն իւրեանց՝ և սուտ լի- նին ։	LE Renard ayant pris une Perdrix, se préparait à la manger. Celle-ci lui dit : Béni soit Dieu, qui m'appelle dans son royaume, et me délivre des maux de ce monde; mais toi, Renard, rends grâces à Dieu et puis tu me mangeras, ce sera une grande récompense pour toi. Le Renard s'assied, regarde le ciel, et ouvrant la gueule, dit : Je te remercie, Dieu bon, du repas excellent que tu m'as pré la totalité des dents, le ratelier, la mâchoire tout en tière. paré! La Perdrix s'échappe de sa gueule, et s'en- vole. Le Renard dit alors : Imbécille, insensé que je suis, il fallait la manger d'abord et bénir Dieu après. Cette fable te montre qu'il ne faut pas compter sur les choses promises, ni en remercier personne jusqu'à ce que tu les aies reçues, et que si on te donne de l'eau, il faut aussitôt tendre le pan de ton habit, car beaucoup de gens disent, ne donnent pas ce qu'ils promettent, et vous trompent.	EAP180-1-2-229_017L.jpg EAP180-1-2-229_018L.jpg	EAP180-1-2-229_017R.jpg EAP180-1-2-229_018R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_017L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_017R.jpg
